pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,1544.0,1.49
Radial Velocity,649.0,1.42
Radial Velocity,3568.0,0.42
Radial Velocity,5769.0,2.5
Radial Velocity,3.2696,0.0318
Radial Velocity,1291.5646,0.0922
Radial Velocity,258.17999,1.61
Radial Velocity,5000.0,0.82
Radial Velocity,11.57779,0.01454
Radial Velocity,27.5909,0.03552
Radial Velocity,107.63,0.03304
Radial Velocity,464.29999,2.14
Radial Velocity,14763.405,26.77
Radial Velocity,330.0,0.2
Radial Velocity,19.382,0.865
Radial Velocity,931.0,5.13
Radial Velocity,4218.0,2.2
Radial Velocity,1125.7,9.76
Transit,11.53533,0.415
Radial Velocity,1455.0,7.8
Radial Velocity,94.44,0.451
Radial Velocity,201.99,1.33
Radial Velocity,1069.8,1.18
Radial Velocity,5000.0,0.66
Radial Velocity,653.21997,9.69
Radial Velocity,349.7,1.25
Radial Velocity,6005.0,5.3
Radial Velocity,1928.0,4.44
Radial Velocity,1299.0,3.07
Radial Velocity,386.29999,1.67
Radial Velocity,2.1974,1.21
Radial Velocity,1039.15,3.532
Radial Velocity,103.95,6.02
Radial Velocity,176.3,2.23
Radial Velocity,2730.0,2.28
Radial Velocity,5.77152,0.02026
Radial Velocity,13.5052,0.01759
Radial Velocity,44.236,2.12
Radial Velocity,1008.0,6.56
Radial Velocity,86.78,0.08983
Radial Velocity,528.4,1.21
Radial Velocity,676.6,1.121
Radial Velocity,116.596,5.14
Radial Velocity,491.54,2.3
Radial Velocity,1027.0,0.85
Radial Velocity,328.55,1.23
Radial Velocity,5062.0,5.16
Radial Velocity,339.331,33.7
Radial Velocity,331.5,1.3
Radial Velocity,2.87589,0.38
Radial Velocity,4.07182,1.33
Radial Velocity,428.5,2.75
Radial Velocity,5894.0,2.71
Radial Velocity,2918.92,2.661
Radial Velocity,686.5,1.869
Transit,4.75615,0.02363
Transit,17.1784,0.02552
Radial Velocity,499.39999,2.95
Radial Velocity,3341.55884,0.82
Radial Velocity,163.94,5.37
Radial Velocity,408.60001,2.45
Radial Velocity,3452.0,2.58
Radial Velocity,818.8,2.6
Radial Velocity,194.3,0.99
Radial Velocity,391.9,0.82
Radial Velocity,131.05,9.88
Radial Velocity,4191.0,8.6
Radial Velocity,842.2,0.74
Radial Velocity,4.6455,0.013
Radial Velocity,359.51001,10.67
Radial Velocity,521.0,1.53
Radial Velocity,2.178,0.00698
Radial Velocity,3.432,0.01762
Radial Velocity,5.1980814,0.01702
Radial Velocity,7.951,0.01913
Radial Velocity,12.028,0.01932
Radial Velocity,820.2,14.0
Radial Velocity,12.62,1.13
Radial Velocity,248.4,1.9
Radial Velocity,1184.1,2.218
Radial Velocity,351.0,0.768
Radial Velocity,577.2,0.934
Radial Velocity,2149.0,3.62
Radial Velocity,643.25,1.676
Radial Velocity,4205.8,1.814
Radial Velocity,9.6386,0.03321
Radial Velocity,310.55,0.5219
Radial Velocity,75.523,0.26
Radial Velocity,990.0,5.1
Radial Velocity,8.4282,9.84
Radial Velocity,75.2203,0.7836
Radial Velocity,1272.0,2.201
Radial Velocity,17.24,0.0696
Radial Velocity,280.17,0.443
Radial Velocity,40.0,0.05078
Radial Velocity,641.472,1.99792
Radial Velocity,1207.0,0.36497
Radial Velocity,75.74,0.0409
Radial Velocity,12.458,0.01259
Radial Velocity,434.5,2.89
Radial Velocity,270.0,6.43
Radial Velocity,5144.0,3.53
Radial Velocity,420.77,1.7
Radial Velocity,58.11247,7.659
Radial Velocity,1749.83,17.193
Radial Velocity,6.404,0.27
Radial Velocity,533.0,8.79
Radial Velocity,225.62,2.88
Radial Velocity,2102.0,4.04
Radial Velocity,1145.0,0.66
Radial Velocity,359.89999,10.13
Radial Velocity,550.0,2.62
Radial Velocity,1532.0,2.72
Radial Velocity,21.21663,3.51
Radial Velocity,323.6,2.7
Radial Velocity,1290.0,8.97
Radial Velocity,298.43,0.598
Radial Velocity,29.01,0.02825
Radial Velocity,623.8,0.87
Radial Velocity,6.4898,0.01806
Radial Velocity,16.8191,0.02888
Radial Velocity,44.505,0.04751
Radial Velocity,410.10001,1.69
Radial Velocity,110.9,0.15
Radial Velocity,71.484,8.03
Radial Velocity,14.479,0.081
Radial Velocity,3.092514,0.916
Radial Velocity,213.72,2.194
Radial Velocity,2278.0,3.18
Radial Velocity,396.03,20.13
Radial Velocity,105.911,0.03843
Radial Velocity,510.9,1.685
Radial Velocity,7462.0575,8.37
Radial Velocity,564.1,2.54
Radial Velocity,9.3743,0.02
Radial Velocity,962.0,0.64
Radial Velocity,2172.0,0.54
Radial Velocity,956.0,0.4
Radial Velocity,626.51599,3.95
Radial Velocity,3070.0,3.57
Radial Velocity,6.83776,1.01
Radial Velocity,1019.74,0.836
Radial Velocity,3.0965828,0.523
Radial Velocity,3810.0,1.99
Radial Velocity,766.0,3.4
Radial Velocity,461.2,1.5
Radial Velocity,2.21857567,1.13
Radial Velocity,11.72,0.05179
Radial Velocity,2915.03687,1.54
Radial Velocity,17.111,0.06
Radial Velocity,1176.45,1.985
Radial Velocity,4885.0,3.1
Radial Velocity,1606.3,8.52
Radial Velocity,24.3556,0.56
Radial Velocity,74.72,0.0532
Radial Velocity,525.8,0.076
Radial Velocity,340.94,2.096
Radial Velocity,18.20132,3.98
Radial Velocity,1378.0,3.18
Radial Velocity,3638.0,6.9
Radial Velocity,1333.0,2.58
Radial Velocity,1035.7,0.79
Radial Velocity,466.2,1.37
Radial Velocity,11.8482,0.0367
Radial Velocity,33.9239,0.0454
Radial Velocity,606.3,1.599
Radial Velocity,852.5,1.214
Radial Velocity,1260.0,17.9
Radial Velocity,517.8,1.996
Radial Velocity,946.6,1.864
Transit,3.308958,1.017
Radial Velocity,1552.9,7.8
Radial Velocity,1120.0,6.29
Radial Velocity,1920.09998,3.46
Radial Velocity,34.905,0.0553
Radial Velocity,1733.0,0.23
Radial Velocity,279.8,1.37
Radial Velocity,96.045,0.1076
Radial Velocity,673.2,2.036
Radial Velocity,5.3135,0.0061
Radial Velocity,13.8905,0.0168
Radial Velocity,29.158,0.0334
Radial Velocity,85.5073,0.0442
Radial Velocity,597.0643,1.4878
Radial Velocity,160.07,0.56
Radial Velocity,1155.7,0.73
Radial Velocity,18.315,0.0085
Radial Velocity,40.114,0.0076
Radial Velocity,90.309,0.015
Radial Velocity,147.02,0.01501
Radial Velocity,130.08,0.52
Radial Velocity,875.5,9.9
Radial Velocity,380.85001,1.25
Radial Velocity,352.7,1.4
Radial Velocity,3.52474859,0.73
Radial Velocity,649.918,0.4817
Radial Velocity,442.19,1.29
Radial Velocity,354.1,1.808
Radial Velocity,1558.0,0.67
Radial Velocity,25.201,0.0409
Radial Velocity,2.24571,0.51
Radial Velocity,380.7,2.39
Radial Velocity,882.70001,5.58
Transit,1.008035,0.02778
Radial Velocity,4.78503,0.06277
Radial Velocity,84.288,0.20734
Radial Velocity,1854.4,20.3
Radial Velocity,5.75999,0.00572
Radial Velocity,7.28243,0.00541
Radial Velocity,10.86499,0.00881
Radial Velocity,25.1967,0.00905
Radial Velocity,3.93404,0.02
Radial Velocity,567.94,0.33
Radial Velocity,1311.0,1.26
Radial Velocity,1334.28,2.223
Radial Velocity,35.45,0.03228
Radial Velocity,154.43,0.0297
Radial Velocity,148.60001,1.05
Radial Velocity,118.45,0.57
Radial Velocity,22.6786,0.0259
Radial Velocity,53.7357,0.0547
Radial Velocity,7.12682,1.3
Radial Velocity,4270.0,2.6
Transit,7.78993,0.01164
Radial Velocity,1319.0,13.0
Radial Velocity,3501.3,21.6
Radial Velocity,225.7,0.2
Radial Velocity,5501.0,10.39
Radial Velocity,3.092926,0.01491
Radial Velocity,6.76458,0.01372
Radial Velocity,46.859,0.05088
