pl_discmethod,Period[days],Mass[Jupiter Mass]
Radial Velocity,2915.03687000,1.54000
Radial Velocity,17.11100000,0.06000
Radial Velocity,1176.45000000,1.98500
Radial Velocity,4885.00000000,3.10000
Radial Velocity,1606.30000000,8.52000
Transit,8.88040300,
Transit,28.58059000,
Transit,38.35610000,
Radial Velocity,24.35560000,0.56000
Radial Velocity,74.72000000,0.05320
Radial Velocity,525.80000000,0.07600
Radial Velocity,340.94000000,2.09600
Radial Velocity,18.20132000,3.98000
Radial Velocity,1378.00000000,3.18000
Radial Velocity,3638.00000000,6.90000
Radial Velocity,1333.00000000,2.58000
Radial Velocity,1035.70000000,0.79000
Radial Velocity,466.20000000,1.37000
Radial Velocity,11.84820000,0.03670
Radial Velocity,33.92390000,0.04540
Radial Velocity,606.30000000,1.59900
Radial Velocity,852.50000000,1.21400
Radial Velocity,1260.00000000,17.90000
Radial Velocity,517.80000000,1.99600
Radial Velocity,946.60000000,1.86400
Transit,3.30895800,1.01700
Imaging,,24.09000
Radial Velocity,1552.90000000,7.80000
Radial Velocity,1120.00000000,6.29000
Radial Velocity,1920.09998000,3.46000
Radial Velocity,34.90500000,0.05530
Radial Velocity,1733.00000000,0.23000
Radial Velocity,279.80000000,1.37000
Radial Velocity,96.04500000,0.10760
Radial Velocity,673.20000000,2.03600
Radial Velocity,5.31350000,0.00610
Radial Velocity,13.89050000,0.01680
Radial Velocity,29.15800000,0.03340
Radial Velocity,85.50730000,0.04420
Radial Velocity,597.06430000,1.48780
Radial Velocity,160.07000000,0.56000
Radial Velocity,1155.70000000,0.73000
Radial Velocity,18.31500000,0.00850
Radial Velocity,40.11400000,0.00760
Radial Velocity,90.30900000,0.01500
Radial Velocity,147.02000000,0.01501
Radial Velocity,130.08000000,0.52000
Radial Velocity,875.50000000,9.90000
Radial Velocity,380.85001000,1.25000
Radial Velocity,352.70000000,1.40000
Radial Velocity,3.52474859,0.73000
Radial Velocity,649.91800000,0.48170
Radial Velocity,442.19000000,1.29000
Radial Velocity,354.10000000,1.80800
Radial Velocity,1558.00000000,0.67000
Radial Velocity,25.20100000,0.04090
Radial Velocity,2.24571000,0.51000
Radial Velocity,380.70000000,2.39000
Radial Velocity,882.70001000,5.58000
Transit,1.00803500,0.02778
Radial Velocity,4.78503000,0.06277
